Platform,Benchmark,Precision,Variant,Size,Time(ms),Bandwidth(GB/s),Result,Extra
PEZY-SC3,Vector Add,fp32,-,64,0.0144,0.05,PASS,
PEZY-SC3,Vector Add,fp32,-,256,0.0141,0.22,PASS,
PEZY-SC3,Vector Add,fp32,-,1024,0.0141,0.87,PASS,
PEZY-SC3,Vector Add,fp32,-,4096,0.0145,3.39,PASS,
PEZY-SC3,Vector Add,fp64,-,64,0.0138,0.11,PASS,
PEZY-SC3,Vector Add,fp64,-,256,0.0139,0.44,PASS,
PEZY-SC3,Vector Add,fp64,-,1024,0.014,1.75,PASS,
PEZY-SC3,Vector Add,fp64,-,4096,0.0152,6.45,PASS,
PEZY-SC3,Vector Dot,fp32,global,256,0.0146,9.09,PASS,-0.304986
PEZY-SC3,Vector Dot,fp32,global,1024,0.0144,9.68,PASS,2.628426
PEZY-SC3,Vector Dot,fp32,global,4096,0.0147,11.18,PASS,13.545026
PEZY-SC3,Vector Dot,fp32,shared,256,0.0183,7.27,PASS,1.270400
PEZY-SC3,Vector Dot,fp32,shared,1024,0.0183,7.6,PASS,-13.912662
PEZY-SC3,Vector Dot,fp32,shared,4096,0.0204,8.05,PASS,5.273202
PEZY-SC3,Vector Dot,fp64,global,256,0.0144,18.48,PASS,2.329600
PEZY-SC3,Vector Dot,fp64,global,1024,0.0146,19.14,PASS,3.208070
PEZY-SC3,Vector Dot,fp64,global,4096,0.0152,21.53,PASS,-6.914376
PEZY-SC3,Vector Dot,fp64,shared,256,0.0189,14.1,PASS,1.350733
PEZY-SC3,Vector Dot,fp64,shared,1024,0.0189,14.74,PASS,7.412446
PEZY-SC3,Vector Dot,fp64,shared,4096,0.0201,16.34,PASS,-23.909386
PEZY-SC3,GEMV,fp32,global,16,0.0152,0.08,PASS,
PEZY-SC3,GEMV,fp32,global,128,0.0302,2.2,PASS,
PEZY-SC3,GEMV,fp64,global,64,0.0208,1.62,PASS,
PEZY-SC3,GEMV,fp64,shared,128,0.0208,6.39,PASS,
PEZY-SC3,MatMul,fp32,global,128,0.0528,3.72,PASS,
PEZY-SC3,MatMul,fp64,shared,128,0.6297,0.62,PASS,
PEZY-SC3,Conv2D,fp32,global,64,0.0161,2.04,PASS,
PEZY-SC3,Conv2D,fp64,shared,64,0.0273,2.41,PASS,
PEZY-SC3,LayerNorm,fp32,-,256,0.1681,0.4,PASS,
PEZY-SC3,LayerNorm,fp64,-,256,0.1938,0.7,PASS,
PEZY-SC3,Graph,fp32,-,512,0.0164,1.0,PASS,
PEZY-SC3,Graph,fp64,-,512,0.0153,1.2,PASS,
PEZY-SC3,FFT,fp32,global,256,7.1085,0.0,PASS,
PEZY-SC3,Histogram,fp32,global,1024,0.3755,89.37,PASS,
PEZY-SC3,Histogram,fp32,shared,1024,0.4849,69.21,FAIL,
PEZY-SC3,MonteCarloPi,fp32,-,1024,0.0145,0.57,PASS,3.132812
PEZY-SC3,MonteCarloPi,fp32,-,4096,0.0148,2.21,PASS,3.156250
PEZY-SC3,Stencil2D 3x3,fp32,-,64,0.0166,1.97,PASS,
PEZY-SC3,Stencil2D 3x3,fp64,-,64,0.0164,3.99,PASS,
PEZY-SC3,Stencil2D 5x5,fp32,-,64,0.0188,1.75,PASS,
PEZY-SC3,Stencil2D 5x5,fp64,-,64,0.0188,3.5,PASS,
PEZY-SC3,Stencil3D Global,fp32,-,32,0.0209,12.57,PASS,
PEZY-SC3,Stencil3D Global,fp64,-,32,0.0206,25.42,PASS,
PEZY-SC3,Stencil3D Shared,fp32,shared,16,2.1032,0.02,FAIL,mismatch
PEZY-SC3,Stencil3D Shared,fp32,shared,32,8.5956,0.03,FAIL,mismatch
