kernel_name,dtype,input_size,pezy_runtime(ms),speedup_vs_cuda,speedup_vs_opencl
Conv2D,FP32,64,0.016100,1.971677,3.248199
Conv2D,FP64,64,0.027300,1.087766,2.030696
FFT,FP32,256,7.108500,0.017574,0.032885
GEMV,FP32,128,0.030200,2.237881,0.904768
GEMV,FP32,16,0.015200,7.141053,12.147237
GEMV,FP64,128,0.020800,1.723077,1.279038
GEMV,FP64,64,0.020800,1.723077,0.171298
LayerNorm,FP32,256,0.168100,0.170565,0.027864
LayerNorm,FP64,256,0.193800,0.174365,0.133199
MatMul,FP32,128,0.052800,0.892121,4.234792
MatMul,FP64,128,0.629700,0.159060,0.450300
MonteCarloPi,FP32,1024,0.014500,8.898207,13.229724
MonteCarloPi,FP32,4096,0.014800,3.390270,3.678243
Stencil2D 3x3,FP32,64,0.016600,1.542169,2.884036
Stencil2D 3x3,FP64,64,0.016400,2.060488,3.593232
Stencil2D 5x5,FP32,64,0.018800,2.069787,3.087766
Stencil2D 5x5,FP64,64,0.018800,2.233191,3.751702
Stencil3D Global,FP32,32,0.020900,3.354641,3.972440
Stencil3D Global,FP64,32,0.020600,3.467184,4.166699
Stencil3D Shared,FP32,16,2.103200,0.025804,0.108923
Stencil3D Shared,FP32,32,8.595600,0.006541,0.013594
Vector Add,FP32,1024,0.014100,11.982979,9.427730
Vector Add,FP32,256,0.014100,2.396596,0.419220
Vector Add,FP32,4096,0.014500,2.471724,8.184897
Vector Add,FP32,64,0.014400,207.075556,14.310694
Vector Add,FP64,1024,0.014000,2.413714,2.687429
Vector Add,FP64,256,0.013900,4.125468,7.434532
Vector Add,FP64,4096,0.015200,2.223158,3.250724
Vector Add,FP64,64,0.013800,8.162319,17.505362
Vector Dot,FP32,1024,0.016350,3.569908,2.905382
Vector Dot,FP32,256,0.016450,3.983951,10.859271
Vector Dot,FP32,4096,0.017550,2.275556,1.810313
Vector Dot,FP64,1024,0.016750,1.834030,1.815940
Vector Dot,FP64,256,0.016650,6.703664,10.867267
Vector Dot,FP64,4096,0.017650,3.713088,2.997564
